127.0.0.1 - - [21/Apr/2023:09:03:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:03:36 +0900] "GET /StudyJSP/ HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:03:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:03:39 +0900] "GET /StudyJSP/jsp10_jdbc_dao/main.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:03:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:03:43 +0900] "GET /StudyJSP/jsp10_jdbc_dao/BoardList HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:03:47 +0900] "GET /StudyJSP/jsp10_jdbc_dao/BoardWriteForm HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:03:57 +0900] "POST /StudyJSP/jsp10_jdbc_dao/BoardWritePro HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:03:57 +0900] "GET /StudyJSP/jsp10_jdbc_dao/BoardList HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:27:47 +0900] "GET /StudyJSP/jsp12_jstl/test1.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:27:54 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:35:01 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:35:11 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:36:20 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:43:25 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:44:46 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:45:17 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:45:25 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:45:51 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 500 7625
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:45:56 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:47:20 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [21/Apr/2023:09:49:18 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:02:24 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:03:47 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:04:57 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:05:13 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:06:30 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:07:00 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:07:15 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=null&age=20 HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:07:38 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:08:57 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:09:53 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:09:59 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:10:40 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=&age=20 HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:11:18 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=&age=20 HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:11:32 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=&age=20 HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:11:39 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=&age=20 HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:12:03 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=&age=20 HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:41:18 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=&age=20 HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:41:29 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=&age=20 HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:41:45 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=&age=20 HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:41:52 +0900] "GET /StudyJSP/jsp12_jstl/test1_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:47:47 +0900] "GET /StudyJSP/jsp12_jstl/test2.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [21/Apr/2023:10:49:36 +0900] "GET /StudyJSP/jsp12_jstl/test2.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:04:28 +0900] "GET /StudyJSP/jsp12_jstl/test2.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:04:52 +0900] "GET /StudyJSP/jsp12_jstl/test2.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:05:41 +0900] "GET /StudyJSP/jsp12_jstl/test2.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:07:18 +0900] "GET /StudyJSP/jsp12_jstl/test2.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:08:54 +0900] "GET /StudyJSP/jsp12_jstl/test2.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:09:13 +0900] "GET /StudyJSP/jsp12_jstl/test2.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:17:58 +0900] "GET /StudyJSP/jsp12_jstl/test3.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:18:04 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:23:42 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:24:44 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:27:06 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:27:12 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=&age=20 HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:27:21 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:28:22 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Apr/2023:11:35:05 +0900] "GET /StudyJSP/jsp12_jstl/test3_result.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99&age=20 HTTP/1.1" 200 553
