127.0.0.1 - - [09/May/2023:09:02:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/May/2023:09:02:29 +0900] "GET /MVC_Board/ HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [09/May/2023:09:02:29 +0900] "GET /MVC_Board/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:09:02:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/May/2023:09:02:31 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [09/May/2023:09:05:18 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 2472
0:0:0:0:0:0:0:1 - - [09/May/2023:09:12:31 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [09/May/2023:09:13:13 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [09/May/2023:09:16:43 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3205
0:0:0:0:0:0:0:1 - - [09/May/2023:09:19:47 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [09/May/2023:09:19:47 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [09/May/2023:09:19:47 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/May/2023:09:25:11 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.21 - - [09/May/2023:09:25:58 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.21 - - [09/May/2023:09:25:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.5.14 - - [09/May/2023:09:25:59 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.14 - - [09/May/2023:09:25:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/May/2023:09:25:59 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.12 - - [09/May/2023:09:25:59 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.12 - - [09/May/2023:09:25:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.5.31 - - [09/May/2023:09:26:00 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.31 - - [09/May/2023:09:26:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.5.14 - - [09/May/2023:09:26:00 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.12 - - [09/May/2023:09:26:01 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [09/May/2023:09:26:01 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [09/May/2023:09:26:01 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [09/May/2023:09:26:01 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [09/May/2023:09:26:02 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.11 - - [09/May/2023:09:26:02 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.11 - - [09/May/2023:09:26:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/May/2023:09:26:03 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.21 - - [09/May/2023:09:26:06 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.31 - - [09/May/2023:09:26:06 +0900] "GET /MVC_Board/ HTTP/1.1" 200 947
192.168.5.31 - - [09/May/2023:09:26:06 +0900] "GET /MVC_Board/css/default.css HTTP/1.1" 200 216
192.168.5.31 - - [09/May/2023:09:26:08 +0900] "GET /MVC_Board/BoardWriteForm.bo HTTP/1.1" 200 2087
192.168.5.27 - - [09/May/2023:09:26:09 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.27 - - [09/May/2023:09:26:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.5.27 - - [09/May/2023:09:26:12 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
192.168.5.27 - - [09/May/2023:09:26:16 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 3389
