127.0.0.1 - - [23/Jun/2023:17:21:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:14 +0900] "GET /MVC_Board/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:14 +0900] "GET /MVC_Board/main HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:14 +0900] "GET /MVC_Board/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:16 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 5643
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:16 +0900] "GET /MVC_Board/images/re.gif HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:18 +0900] "GET /MVC_Board/BoardList.bo?pageNum=2 HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:19 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=1&pageNum=2 HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:20 +0900] "GET /MVC_Board/BoardList.bo?pageNum=2 HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:22 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=1&pageNum=2 HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:24 +0900] "GET /MVC_Board/BoardModifyForm.bo?board_num=1&pageNum=2 HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:28 +0900] "POST /MVC_Board/BoardModifyPro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:28 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=1&pageNum=2 HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:30 +0900] "GET /MVC_Board/BoardList.bo?pageNum=2 HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:32 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=1&pageNum=2 HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:33 +0900] "GET /MVC_Board/BoardModifyForm.bo?board_num=1&pageNum=2 HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:36 +0900] "POST /MVC_Board/BoardModifyPro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:36 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=1&pageNum=2 HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:21:37 +0900] "GET /MVC_Board/BoardList.bo?pageNum=2 HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [23/Jun/2023:17:22:18 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=1&pageNum=2 HTTP/1.1" 200 2653
